ventile,pct_band,n,min_elo,max_elo,avg_elo
20,top 5%,119,1319.0,1431.0,1352.5
19,90-95%,119,1287.0,1319.0,1303.4
18,85-90%,119,1269.1,1286.8,1277.2
17,80-85%,119,1257.1,1269.1,1262.1
16,75-80%,119,1252.5,1257.1,1254.4
15,70-75%,119,1249.6,1252.5,1251.0
14,65-70%,119,1243.2,1249.6,1247.1
13,60-65%,119,1222.7,1243.1,1233.6
12,55-60%,119,1209.1,1222.6,1215.0
11,50-55%,119,1200.6,1209.1,1204.1
10,45-50%,119,1196.3,1200.6,1198.5
9,40-45%,119,1188.3,1196.2,1192.9
8,35-40%,120,1165.4,1188.2,1176.3
7,30-35%,120,1147.4,1165.4,1154.1
6,25-30%,120,1138.8,1147.3,1142.5
5,20-25%,120,1122.5,1138.8,1129.3
4,15-20%,120,1110.8,1122.5,1117.5
3,10-15%,120,1092.8,1110.7,1098.9
2,5-10%,120,1076.3,1092.8,1083.3
1,bottom 5%,120,1057.7,1076.2,1067.5
