run_id,arm,cost_usd,tactic_delta,grounding,structural,lexical,winner_elo,variant_count,coherence_cost
c150bf22-bfe0-4977-947e-5abf82a63780,Control,0.0588550,-6.015251,5.043025,6.469048,1.910504,1211.608619,8,0.000913
42a8fb4b-d1de-467f-9e43-47c024ab90dd,Control,0.0652340,-5.969342,7.175502,4.179560,1.853049,1254.943953,13,0.000810
12fb83f6-7563-40b9-a3fb-d77d9171a707,Control,0.0734490,-6.151481,8.435943,4.503858,1.342332,1263.890394,13,0.001105
49f7795a-12b6-4f9e-afdb-3facf60ff1e2,Control,0.0677610,-3.481759,4.481011,7.209034,1.133409,1248.514522,12,0.001203
5d99412f-6ffe-4b60-8b19-3fee8835abfb,Control,0.0622000,-6.728250,8.508778,3.845029,2.404218,1277.749955,9,0.000819
a895f571-029c-4741-8055-82d5bbee70aa,Control,0.0661910,-3.041913,8.695060,6.557137,1.415045,1340.996736,12,0.000800
28aecc27-bde3-4902-82bd-d658ca11edb8,Treatment,0.0677550,-12.746186,6.741937,7.267792,3.475770,1312.154654,13,0.000990
24aec741-993b-4002-8dd1-17caca9a0704,Treatment,0.0978690,-10.107599,8.879195,4.033494,2.026468,1274.273041,13,0.000970
d36dda5c-1645-406f-8a3e-5947300aff0d,Treatment,0.0785460,-3.453285,8.588939,7.818526,0.818776,1244.872652,13,0.000996
1e809aea-a29e-4ac4-bc8f-0e82852dc26f,Treatment,0.0988960,-3.872941,7.669097,6.206349,0.908463,1251.532482,13,0.001000
ab80951e-ecde-4253-b385-e83b0adc0156,Treatment,0.0680840,-2.732016,7.528341,5.920524,1.340876,1274.767149,14,0.001155
7b655d5c-8fbc-437b-a1d7-9ab4343d933f,Treatment,0.0700620,-2.743738,6.359653,5.032439,2.741950,1259.542026,14,0.000817
a83a37b5-11e5-46c2-9c98-aad7ce59648c,Treatment,0.0691200,-6.214836,8.876036,5.072109,2.054826,1317.630731,13,0.000743
